"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"STAMITZ, Carl",1745-1801,Quartette Op. 8,,"Nr.4 Es-Dur f.Oboe,Klarinette,Horn u.Fagott",,"0,00",,"Starke,Schutzeichel,Pagin,Schneider,Adomeit",,,, 1402,RBM 3037,146,,5441
"STAMITZ, Carl",1745-1801,Quartette Op.14,,Nr.3 A-Dur,,"0,00",,"Starke,Schutzeichel,Pagin,Schneider,Adomeit",,,, 1402,RBM 3037,,,5442
"STAMITZ, Carl",1745-1801,Quartette Op. 8,,"Nr.4 Es-Dur f.Oboe,Klarinette,Horn u.Fagott",,"10,31",,,,Musica da Camara Praga,, 1680,BM 4118,,,5386
"STAMITZ, Carl",1745-1801,Quartette Op.19,,Nr.2 b-moll f.Klarinette u.Streichtrio,,"13,19",,"Arteel,Sebestyen,Schiffer,Schiffer",,,, 1816,DC Zep 13,,,5387
"STAMITZ, Carl",1745-1801,Quartette Op.19,,"Nr.6 F-Dur f.Fagott,Violine,Viola u.V'cello",,"11,20",,,,Tatrai-Quartett,, 1694,Hun 11972,,,5388
"STAMITZ, Carl",1745-1801,Quartett Es-Dur f.Klarinette u.Streichtrio,,,,"0,00",,"Gartner,R.+J.Kussmaul,Wolf",,,, 1296,Dca 92305,144,,5446
"STAMITZ, Carl",1745-1801,Sinfoniae concertante,,f.2 Violinen u.Orchester,,"20,27",Violine,"Makanowitzky,Hendel",Ristenpart,Saar Kamorch.,,  214,None 71014,119,,5390
"STAMITZ, Carl",1745-1801,Sinfoniae concertante,,"A-Dur f.Violine,Viola u.Orchester",,"18,22","Violine,Viola","Lautenbacher,Wallfisch",,Stgt.Solisten,,  397,FSM 34221,,,5391
"STAMITZ, Carl",1745-1801,Sinfoniae concertante,,"A-Dur f.Violine,Viola u.Orchester",,"0,00","Violine,Viola","Maier,Beyer",,Collegium Aureum,,  500,RCA  1335,,,5449
"STAMITZ, Carl",1745-1801,Sinfoniae concertante,,"D-Dur f.Violine,Viola u.Orchester",,"0,00","Violine,Viola",,Lemaire,Lutticher Sol.,, 1744,MXT DB 140,,,5450
"STAMITZ, Carl",1745-1801,Sinfonien,,"Es-Dur f.2 Floten,2 Horner u Streicher",(Echosinfonie),"0,00",,,Hofmann,Kurpfalz.Kamorch.Mannheim,, 1094,RBM 3006,,,5451
"STAMITZ, Carl",1745-1801,Sinfonien,,Es-Dur,,"0,00",,,,Prager Kamorch.,, 1022,Chr 75887,,,5452
"STAMITZ, Carl",1745-1801,Sonate B-Dur f.Viola u.Klavier,,,,"0,00",,"Kussmaul,Krieger",,,, 1296,Dca 92305,,,5453
"STAMITZ, Carl",1745-1801,"Trio G-Dur f.Flote,Violine u.B.c.",,,,"0,00",,"Richter,Kussmaul,Wolf,Nerokas",,,, 1296,Dca 92305,,,5454
"STANLEY, John",1713-1786,Konzerte f.Orgel u.Streicher Op. 2 Nr.1-6,,Nr.1 D-Dur,,"0,00",Orgel,Jones,Jones,Little Orch.of London,,  950,DC Pel 40703,,,5455
"STANLEY, John",1713-1786,Konzerte f.Orgel u.Streicher Op. 2 Nr.1-6,,Nr.2 b-moll,,"11,20",Orgel,Jones,Jones,Little Orch.of London,,  950,DC Pel 40703,123,,5399
"STANLEY, John",1713-1786,Konzerte f.Orgel u.Streicher Op. 2 Nr.1-6,,Nr.3 G-Dur,,"9,00",Orgel,Jones,Jones,Little Orch.of London,,  950,DC Pel 40703,,,5400
"STANLEY, John",1713-1786,Konzerte f.Orgel u.Streicher Op. 2 Nr.1-6,,Nr.4 d-moll,,"8,35",Orgel,Jones,Jones,Little Orch.of London,,  950,DC Pel 40703,,,5401
"STANLEY, John",1713-1786,Konzerte f.Orgel u.Streicher Op. 2 Nr.1-6,,Nr.5 A-Dur,,"0,00",Orgel,Jones,Jones,Little Orch.of London,,  950,DC Pel 40703,,,5459
"STANLEY, John",1713-1786,Konzerte f.Orgel u.Streicher Op. 2 Nr.1-6,,Nr.6 B-Dur,,"0,00",Orgel,Jones,Jones,Little Orch.of London,,  950,DC Pel 40703,,,5460
"STANLEY, John",1713-1786,Suite in D,,Trumpet Tune,,"3,45",,,Janigro,Solisti di Zagreb,, 1668,Van  5041,,,5404
"STAROMIEYSKI, Janusz", um -1725,Laudate pueri,,,,"0,00",,,Kajdasz,Kamorch.Breslau,Chor Rd.Breslau, 1514,DC Muz 368,,,5462
"STEINMETZ,",    -,Konzert f.Horn u.Streicher,(gleich Telemann),,,"0,00",Horn,Stagliano,Dunn,Kapp Sinfonietta,,  296,Kapp 3388,  7,,5463
"STICH-PUNTO, Jan Vaclav",1746-1803,Konzerte f.Horn u.Orchester,,Nr. 5 F-Dur,,"0,00",Horn,Stefek,Liska,Prager Sinf.Orch.,,  794,Supra   19371,,,5464
"STICH-PUNTO, Jan Vaclav",1746-1803,Konzerte f.Horn u.Orchester,,Nr. 5 F-Dur,,"0,00",Horn,Tuckwell,Marriner,Ac.St.M-in-the-Fields,, 1713,EMI 065  03928, 54,,5465
"STICH-PUNTO, Jan Vaclav",1746-1803,Konzerte f.Horn u.Orchester,,Nr. 6 Es-Dur,,"0,00",Horn,Tuckwell,Marriner,Ac.St.M-in-the-Fields,, 1713,EMI 065  03928,143,,5466
"STICH-PUNTO, Jan Vaclav",1746-1803,Konzerte f.Horn u.Orchester,,Nr.10 F-Dur,,"0,00",Horn,Tuckwell,Marriner,Ac.St.M-in-the-Fields,, 1713,EMI 065  03928, 92,,5467
"STICH-PUNTO, Jan Vaclav",1746-1803,Konzerte f.Horn u.Orchester,,Nr.11 E-Dur,,"0,00",Horn,Tuckwell,Marriner,Ac.St.M-in-the-Fields,, 1713,EMI 065  03928,146,,5468
"STOCKHAUSEN, Karlheinz",1928-,Prozession (Version 1971),,,,"49,08",,Stockhausen,,,,  845,FSM 31001,,,5412
"STOLZEL, Gottfried Heinrich",1690-1749,"Sonate F-Dur (F.Oboe,Horn,Violine u.B.c.)",,,,"6,57",,,Baumann,Stgt.Kam.Ens.,, 1408,Int 120 868,,,5413
"STOLZEL, Gottfried Heinrich",1690-1749,Konzert f.Oboe (Trompete) u.Streicher D-Dur,,,,"0,00",Oboe,Passin,Muller-Bruhl,Kolner Kamorch.,,  369,Schw  2 022,,,5471
"STOLZEL, Gottfried Heinrich",1690-1749,"Concerto grosso D-Dur f.je 2 Chore Trompeten,","Flote,Oboe,Fagott u.Streicher",,,"0,00",,"Schneidewind,Zickler,Basch,Schetsche,Ackerman",Faerber,Wurtt.Kamorch.Heilbr.,,  843,FSM 34090,,,5472
"STOLZEL, Gottfried Heinrich",1690-1749,"Concerto grosso D-Dur f.je 2 Chore Trompeten,","Flote,Oboe,Fagott u.Streicher",,,"11,13",,"Delmotte,Daraux",Wahl,Kamorch.Versailles,, 1620,None 71017,,,5416
"STRADELLA, Alessandro",1642-1682,Sonate (Konzert) f.Trompete u.2 Orchester,D-Dur,,,"0,00",Trompete,Scherbaum,Scherbaum,Hamburg.Barock Ens.,, 1556,DG  136 470,,,5474
"STRAUSS, Franz",1822-1905,Konzert f.Horn u.Orchester Op.8 c-moll,,,,"14,40",Horn,Tuckwell,Kertesz,London Symph.Orch.,, 1057,Dec 6.41432, 37,,5418
"STRAUSS, Johann (Vater)",1804-1849,Radetzky-Marsch Op.228,,,,"0,00",,,Mackerras,London Symph.Orch.,,  945 (2LP),Ph 6545 001,,,5476
"STRAUSS, Johann (Vater)",1804-1849,Radetzky-Marsch Op.228,,,,"2,44",,,Karajan,Berliner Philharm.,, 1703,DG 2535 647,,,5420
"STRAUSS, Johann (Vater)",1804-1849,Wiener Karneval-Walzer Op.3,,,,"7,14",,,Angerer,Orch.Wien.Volksop.,, 1269,FSM 34156,,,5421
"STRAUSS, Johann (Sohn)",1825-1899,Die Fledermaus,,Ouverture,,"8,10",,,Boskovsky,Wiener Philharm.,, 1837 (2LP),Dec 6.48157,,,5422
"STRAUSS, Johann (Sohn)",1825-1899,Gschichten aus dem Wienerwald Op.325,,,,"0,00",,,Swarowsky,Tschech.Philh.Orch.,,  319,Supra   10116,,,5480
"STRAUSS, Joseph",1827-1870,Dorfschwalben aus Osterreich (Walzer) Op.164,,,,"0,00",,,Dorati,Philh.Hungarica,,  945 (2LP),Ph 6545 001,,,5481
"STRAUSS, Joseph",1827-1870,Frauenherz Op.166 (Polka Mazurka),,,,"0,00",,,Swarowsky,Tschech.Philh.Orch.,,  319,Supra   10116,,,5482
"MYSLIVECEK, Josef",1737-1781,Konzerte f.Violine u.Orchester,,F-Dur,"Allegro,Andante cantabile,Allegro vivace","21,04",Violine,Ishikawa,Pesek,Dvorak Kamorch.,,Q 275,Supra C37 7429,,,5426
"STRAUSS, Richard",1864-1949,Burleske d-moll f.Klavier u.Orchester,,,,"21,35",Klavier,List,List,Orch.Wien.Staatsop.,,  481,Odys 32 160312,,,5427
"STRAUSS, Richard",1864-1949,Burleske d-moll f.Klavier u.Orchester,,,,"0,00",Klavier,Janis,Reiner,Chicago Symph.Orch.,,  670,RCA  1101,,,5485
"STRAUSS, Johann (Sohn)",1825-1899,Tritsch-Tratsch-Polka Op.214,,,,"0,00",,,Swarowsky,Tschech.Philh.Orch.,,  319,Supra   10116,,,5486
"STRAUSS, Richard",1864-1949,Don Juan Op.20 (Tondichtung n.Lenau),,,,"17,07",,,Karajan,Wiener Philharm.,,Q 294,Dec 417 720-2, 20,,5430
"STRAUSS, Richard",1864-1949,Sinfonien,,Op.64 Eine Alpensinfonie,,"0,00",,,Bohm,Staatskap.Dresden,,  452,Hel 89594,,,5488
"STRAUSS, Richard",1864-1949,Ein Heldenleben Op.40 (Sinf.Dichtung),,,,"0,00",,,Karajan,Berliner Philharm.,, 1558,DG  138 025,,,5489
"STRAUSS, Richard",1864-1949,Konzerte f.Horn u.Orchester Nr.1-2,,Nr.1 Op.11 Es-Dur (1883),,"0,00",Horn,Brain,Sawallisch,Philharm.Orch.,,  140,Ang 35496, 45,,5490
"STRAUSS, Richard",1864-1949,Konzerte f.Horn u.Orchester Nr.1-2,,Nr.1 Op.11 Es-Dur (1883),,"15,55",Horn,Bloom,Szell,Cleveland Orch.,,  197,Epic 1241, 11,,5434
"STRAUSS, Richard",1864-1949,Konzerte f.Horn u.Orchester Nr.1-2,,Nr.1 Op.11 Es-Dur (1883),,"15,35",Horn,Tuckwell,Kertesz,London Symph.Orch.,, 1057,Dec 6.41432,  1,,5435
"STRAUSS, Richard",1864-1949,Konzerte f.Horn u.Orchester Nr.1-2,,Nr.2 Es-Dur (1942),,"20,05",Horn,Tuckwell,Kertesz,London Symph.Orch.,, 1057,Dec 6.41432,,,5436
"STRAUSS, Richard",1864-1949,Konzerte f.Horn u.Orchester Nr.1-2,,Nr.2 Es-Dur (1942),,"0,00",Horn,Brain,Sawallisch,Philharm.Orch.,,  140,Ang 35496,,,5494
"STRAUSS, Richard",1864-1949,Konzerte f.Horn u.Orchester Nr.1-2,,Nr.2 Es-Dur (1942),,"19,09",Horn,Iblanzky,Westerberg,Stockholm.Philh.Orch.,, 1168,DC Cap 1103,,,5438
"HERTEL, Johann Wilhelm",1727-1789,Konzerte f.Oboe u.Orchester,,Nr. 8 C-Dur,,"21,34",Oboe,Glaetzner,Glaetzner,Neues Bach Colleg.Musicum,,Q 538,DSB 110 009,,,5439
"STAMITZ, Carl",1745-1801,Konzerte f.Klarinette u.Orchester,(Numerierung v.Helmut Boese),Nr. 7 Es-Dur (Darmstatter Konzert Nr.1),"Allegro molto,Adagio,Rondeau","19,48",Klarinette,Brunner,Stadlmair,Munchen.Kamorch.,,Q 577,Tud 500 739,,,5440
"STRAUSS, Richard",1864-1949,Konzert f.Oboe u.Orchester D-Dur,,,,"0,00",Oboe,Hantak,Vogel,Philharm.Orch.,,  755,Supra   50486,,,5498
"STRAUSS, Richard",1864-1949,Salome Op.54,,Salome Tanz (Tanz d.7 Schleier),,"0,00",,,Karajan,Wiener Philharm.,,  117,Lon  6211,,,5499
"STRAUSS, Richard",1864-1949,Till Eulenspiegels lustige Streiche Op.28,,,,"15,05",,,Karajan,Wiener Philharm.,,Q 295,Dec 417 722-2, 38,,5443
"STRAUSS, Richard",1864-1949,Till Eulenspiegels lustige Streiche Op.28,,,,"0,00",,,Kubelik,Berliner Philharm.,,  437,DG  136 519, 40,,5501
"STRAUSS, Richard",1864-1949,Tod und Verklarung Op.24 (Sinf.Dichtung),,,,"23,56",,,Karajan,Wiener Philharm.,,Q 294,Dec 417 720-2,,,5445
"STRAUSS, Richard",1864-1949,Konzert f.Violine u.Orchester Op.8 d-moll,,,,"30,14",Violine,Glenn,List,Orch.Wien.Staatsop.,,  481,Odys 32 160312,,,5446
"STRAWINSKY, Igor",1882-1971,Apollon Musagete (1928 rev.1947) Ballett,,,,"0,00",,,Marriner,Ac.St.M-in-the-Fields,,  662,TIS ZRG 575,,,5504
"STRAWINSKY, Igor",1882-1971,Ebony Concerto f.Klarinette u.Orchester,,,,"9,15",Klarinette,Goodman,Strawinsky,N.Y.Philharm.,,  557,CBS   6805,,,5448
"STRAWINSKY, Igor",1882-1971,Der Feuervogel (1910) Ballett,,Berceuse,,"7,17",,,Stokowski,Berliner Philharm.,,  706,Cap 8673,,,5449
"STRAWINSKY, Igor",1882-1971,Der Feuervogel (1910) Ballett,,Berceuse,,"0,00",,,Susskind,Concert Arts Orch.Milstein,,   20,Cap 8528,,,5507
"STRAWINSKY, Igor",1882-1971,Der Feuervogel (1910) Ballett,,Finale,,"7,17",,,Stokowski,Berliner Philharm.,,  706,Cap 8673,,,5451
"STRAWINSKY, Igor",1882-1971,Pulcinella (1919) Ballett,,,,"0,00",,,Marriner,Ac.St.M-in-the-Fields,,  662,TIS ZRG 575, 93,,5509
"STRAWINSKY, Igor",1882-1971,Scherzo a la russe (1943/44),,,,"0,00",,,Kubelik,Berliner Philharm.,,  437,DG  135 519,,,5510
"STRAWINSKY, Igor",1882-1971,Circus-Polka f.einen jungen Elefanten,,,,"3,25",,,Kubelik,Berliner Philharm.,,  437,DG  135 519,,,5454
"STRAWINSKY, Igor",1882-1971,Pastorale (1907/08),,,,"1,50",,,Bonynge,London Symph.Orch.,,  553,Lon  6406,,,5455
"STRAWINSKY, Igor",1882-1971,Jeu de Cartes (Ballettsuite),,,,"0,00",,,Celibidache,Berliner Philharm.,, 1287 (3LP),Cet 533,,,5513
"STUNTZ, Josef Hartmann",1793-1859,"Agnus Dei (f.Bass,Horn u.Streicher)",,,,"5,25",,,Walter,Kamorch.Musica Bav.,, 1743,MB 70 909,,,5457
"SUCHANEK, Frantisek",    -,Tschech.Weihnachts-Pastorellas,,,,"0,00",,,Sip,Prager Sinf.Orch.,,  797,Supra   19038,,,5515
"SUSSMAYR, Franz Xaver",1766-1803,Das Namensfest,,,,"0,00",,,Csanyi,Orch.Rd.u.T.Hungarica,, 1233,Hun 11313,,,5516
"SUSSMAYR, Franz Xaver",1766-1803,Ouverture,,,,"0,00",,,Tatrai,Ungar.Kamorch.,, 1038,Hun 11462, 36, 63,5517
"SUSSMAYR, Franz Xaver",1766-1803,"Quintett D-Dur f.Flote,Oboe,Violine,Viola u.",Violoncello,,,"0,00",,,,Consortium Classicum,, 1220 (4LP),EMI 187  28836/9,,,5518
"SUK, Josef",1874-1935,Asrael Op.27 c-moll (Sinfonie f.Orchester),,,,"61,20",,,Talich,Tschech.Philh.Orch.,,  957 (3LP),Supra  0 10 1441/3,,,5462
"SUK, Josef",1874-1935,Lebensreife Op.34 (Sinf.Dichtung),,,,"37,25",,,Talich,Tschech.Philh.Orch.,,  957 (3LP),Supra  0 10 1441/3,,,5463
"SUK, Josef",1874-1935,Serenade Op.6 f.Streicher,,,,"29,20",,,Talich,Tschech.Philh.Orch.,,  957 (3LP),Supra  0 10 1441/3,,,5464
"SUK, Josef",1874-1935,Towards a new life Op.35c (Fest-Marsch),,,,"0,00",,,Klima,Tschech.Philh.Orch.,, 1001,Supra   50476,,,5522
"SUK, Josef",1874-1935,Legende der toten Helden Op.35b,,,,"0,00",,,Klima,Tschech.Philh.Orch.,, 1001,Supra   50476,,,5523
"SUK, Josef",1874-1935,Meditation on the old Czech Chorale,St.Wenceslas Op.35a,,,"0,00",,,Klima,Tschech.Philh.Orch.,, 1001,Supra   50476,,,5524
"SUK, Josef",1874-1935,Ballade Op.3b f.Violine u.Klavier,,,,"8,50",,"Suk,Panenka",,,,  909,Supra   50777,,,5468
"SUK, Josef",1874-1935,Fantasie Op.24 g-moll f.Violine u.Orchester,,,,"24,00",Violine,Suk,Ancerl,Tschech.Philh.Orch.,,  909,Supra   50777,,,5469
"SUK, Josef",1874-1935,Stucke f.Klavier Op.7,,Nr.1 Liebeslied,,"7,05",,,Smetacek,Prager Sinf.Orch.,,  962,Supra  1 10 1429,,,5470
"SUK, Josef",1874-1935,Stucke Op.17 Nr.1-4 f.Violine u.Klavier,,,,"17,50",,"Suk,Panenka",,,,  909,Supra   50777,,,5471
"SUK, Josef",1874-1935,Unter dem Apfelbaum Op.20 (Legende),,,,"28,10",,,Trhlik,Ostrava Janacek Philh.Orch.,, 1119,Supra  1 12 1678,,,5472
"SULLIVAN, Arthur Seymour",1842-1900,Pineapple Poll (Ballett-Suite),(arr.Ch.Mackerras),,,"42,57",,,Hollingsworth,Pro Arte Orch.,,  866,Van   292,,,5473
"SUPPE, Franz von",1819-1895,Dichter u.Bauer (Ouverture),,,,"9,50",,,Bernstein,N.Y.Philharm.,,  502,CBS   6743,,,5474
"SUPPE, Franz von",1819-1895,Dichter u.Bauer (Ouverture),,,,"9,01",,,Solti,Wiener Philharm.,, 1837 (2LP),Dec 6.48157,,,5475
"SUPPE, Franz von",1819-1895,Dichter u.Bauer (Ouverture),,,,"0,00",,,Paray,Detroit Symph.Orch.,,  945 (2LP),Ph 6545 001,,,5533
"SUPPE, Franz von",1819-1895,Leichte Kavallerie (Operette),,Ouverture,,"0,00",,,Paray,Detroit Symph.Orch.,,  945 (2LP),Ph 6545 001,,,5534
"SURIANO, Francesco",    -,Et ascendit,,,,"0,00",,,,,Prager Madrigal Singers,  955,Supra   50776,,,5535
"SURIANO, Francesco",    -,Hcristte,,,,"0,00",,,,,Prager Madrigal Singers,  955,Supra   50776,,,5536
"SWEELINCK, Jan Pieterszoon",1562-1621,Von der Fortuna wer'ich getrieben,,,,"0,00",,,Harnoncourt,Concentus Musicus Wien,, 1650,Tel 1,,,5537
"SWEELINCK, Jan Pieterszoon",1562-1621,Ricercar brevis in a  f.Orgel,,,,"0,00",,Tramnitz,,,, 1128,Chr 75935,,,5538
"SZYMANOWSKI, Karol",1882-1937,Konzerte f.Violine u.Orchester Nr.1-2,,Nr.1 Op.35,,"0,00",Violine,Wilkomirska,Rowicki,Nat.Philh.S.O.Warschau,,  608,DC Muz 383,,,5539
"SZYMANOWSKI, Karol",1882-1937,Konzerte f.Violine u.Orchester Nr.1-2,,Nr.2 Op.61,,"0,00",Violine,Treger,Satanowski,Nat.Philh.S.O.Warschau,,  608,DC Muz 383,,,5540
"SZYMANOWSKI, Karol",1882-1937,Mythen Op.30 (3 Gedichte f.Violine u.Klavier),,,,"0,00",,"Danczowska,Broddck",,,, 1777,Schw  2 058,,,5541
"SZYMANOWSKI, Karol",1882-1937,Sinfonien,,Nr.3 Op.27 (Das Lied d. Nacht),,"0,00",,,Rowicki,Nat.Philh.S.O.Warschau,Chor N.Ph.Warschau,  606,DC Muz 149,,,5542
"SZYMANOWSKI, Karol",1882-1937,Stabat Mater Op.53,,,,"0,00",,,Rowicki,Nat.Philh.S.O.Warschau,Chor N.Ph.Warschau,  606,DC Muz 149,,,5543
"TAFFANEL, Claude Paul",1844-1908,Quintett (1878) f.Blaser,,,,"0,00",,,,Zurcher Pro Arte Quint.,, 1693,DC Gol 11071,,,5544
"TAILLEFERRE, Germaine",1892-1983,Ballade f.Klavier u.Orchester,,,,"14,14",Klavier,Marciano,Froment,Orch.Rd.Luxemburg,, 1869,FSM 53042,,,5488
"TAILLEFERRE, Germaine",1892-1983,Concertino f.Harfe u.Orchester (1927),,,,"16,36",Harfe,Zabaleta,Martinon,Orch.Ortf.Paris,,  743,DG 2530 008,,,5489
"TAPRAY, Jean Francois",1738-1819,Konzerte f.Orgel u.Orchester Op.1,,Nr.1,,"0,00",Orgel,Cartigny,Cartigny,Kamorch.Cartigny,,  764,Schw  2 019,,,5547
"TAPRAY, Jean Francois",1738-1819,Sinfonia concertante Op.9 Es-Dur,"f.Cembalo,Klavier,Violine u.Orchester",,,"0,00",,,Cartigny,Kamorch.Cartigny,,  764,Schw  2 019,,,5548
"TAPRAY, Jean Francois",1738-1819,Konzert f.Cembalo u.Orchester Op.12 G-Dur,,,,"0,00",Cembalo,Schoonbroodt,Cartigny,Kamorch.Cartigny,,  764,Schw  2 019,,,5549
"TARTINI, Giuseppe",1692-1770,Andante cantabile f.Oboe u.Streicher,,,,"2,13",Oboe,de Vries,Ninic,Solisti di Zagreb,, 1856,EMI 065  26683,,,5493
"TARTINI, Giuseppe",1692-1770,"Konzert f.Flote,Streicher u.B.c. G-Dur",,,,"10,10",Flote,Nicolet,Baumgartner,Festival Strings Luzern,, 1579,DG   14 115,,,5494
"TARTINI, Giuseppe",1692-1770,"Konzert f.Flote,Streicher u.B.c. G-Dur",,,,"10,23",Flote,Rampal,Ristenpart,Saar Kamorch.,,  489,Epic 1293,,,5495
"TARTINI, Giuseppe",1692-1770,"Konzert f.Flote,Streicher u.B.c. G-Dur",,,,"10,05",Flote,Marion,Prat,Instr.Ens.J.Prat,, 1032,FSM Vox  43 020,,,5496
"TARTINI, Giuseppe",1692-1770,Konzerte f.Oboe u.Streicher,,Nr. 58 F-Dur,,"0,00",Oboe,Gassesi,Caracciolo,Scarlatti Orch.,,  162,Ang 35255,,,5554
"TARTINI, Giuseppe",1692-1770,"Konzerte f.Violine,Streicher u.B.c.",,D  80 G-Dur,,"0,00",Violine,Kussmaul,Muller-Bruhl,Kolner Kamorch.,, 1258,Schw  2 045,,,5555
"TARTINI, Giuseppe",1692-1770,"Konzerte f.Violine,Streicher u.B.c.",, d-moll,,"12,53",Violine,Schneiderhan,Baumgartner,Festival Strings Luzern,, 1579,DG   14 115,,,5499
"TARTINI, Giuseppe",1692-1770,"Konzerte f.Violine,Streicher u.B.c.",, D-Dur,,"13,22",Violine,Melkus,Wenzinger,Capella Acad.Wien,,  444,DG  198 370,,,5500
"TARTINI, Giuseppe",1692-1770,"Konzerte f.Violine,Streicher u.B.c.",, d-moll,,"0,00",Violine,Tomasow,Tomasow,Kamorch.Wien.Staatsop.,,  708,Van   154,,,5558
"STRAUSS, Johann (Sohn)",1825-1899,Die Fledermaus,,Ouverture,,"8,20",,,Boskovsky,Wiener Philharm.,,Q 548,Dec 417 747-2,,,5502
"TARTINI, Giuseppe",1692-1770,"Konzerte f.Violine,Streicher u.B.c.",,.d-moll,,"15,15",Violine,Francescatti,de Stoutz,Zurcher Kamorch.,,  685,CBS   6953,,,5503
"TARTINI, Giuseppe",1692-1770,"Konzerte f.Violine,Streicher u.B.c.",, G-Dur,,"16,06",Violine,Melkus,Wenzinger,Capella Acad.Wien,,  444,DG  198 370,,,5504
"TARTINI, Giuseppe",1692-1770,Konzert f.Violoncello u.Streicher A-Dur,,,,"15,36",V'cello,Blees,,Stgt.Solisten,,  513,FSM 34236, 25,,5505
"TARTINI, Giuseppe",1692-1770,Konzert f.Violoncello u.Streicher A-Dur,,,,"0,00",V'cello,Blees,Faerber,Wurtt.Kamorch.Heilbr.,, 1475 (2LP),FSM 73004,,,5563
"TARTINI, Giuseppe",1692-1770,Konzert f.Violoncello u.Streicher A-Dur,,,,"17,21",V'cello,Mainardi,Baumgartner,Festival Strings Luzern,, 1579,DG   14 115,,,5507
"TARTINI, Giuseppe",1692-1770,Sinfonien,,D-Dur,,"12,23",,,Baumgartner,Festival Strings Luzern,, 1579,DG   14 115,,,5508
"TARTINI, Giuseppe",1692-1770,Sinfonien,,A-Dur,,"0,00",,,de Stoutz,Zurcher Kamorch.,,  975,Amad  19020,,,5566
"TARTINI, Giuseppe",1692-1770,Sinfonien,,D-Dur,,"10,26",,,Rodan,Ramat-Gan Kamorch.,,  542,Con M 2107,,,5510
"TARTINI, Giuseppe",1692-1770,"Sinfonia pastorale D-Dur f.Violine,",Streicher u.B.c.,,,"0,00",,,Tomasow,Kamorch.Wien.Staatsop.,,  708,Van   154,,,5568
"STRAUSS, Johann (Sohn)",1825-1899,Perpetuum mobile Op.257 (Musikalisch.Scherz),,,,"2,58",,,Boskovsky,Wiener Philharm.,,Q 548,Dec 417 747-2,,,5512
"TARTINI, Giuseppe",1692-1770,"Sinfonia pastorale D-Dur f.Violine,",Streicher u.B.c.,,,"12,58",,,Maier,Collegium Aureum,, 1504,EMI 027  99637,,,5513
"TARTINI, Giuseppe",1692-1770,Variationen,,,,"4,45",Violine,Francescatti,de Stoutz,Zurcher Kamorch.,,  685,CBS   6953,,,5514
"TAYLOR, Deems",1885-,The Portrait of a Lady Op.14 (Rhapsodie),,,,"0,00",,,Hendl,Wiener Symphoniker,,  515,DST 6417,,,5572
"TAYLOR, Deems",1885-,Garden of Live Flowers,,,,"4,10",,,Mitchell,Nat.Symph.Orch.,,  674,RCA  2713,,,5516
"TCHEREPNIN, Alexander Nikolajewitsch",1899-1977,Serenade Op.97 f.Streicher,,,,"0,00",,,Stadlmair,Munchen.Kamorch.,,  933,Dca 91506,,,5574
"TELEMANN, Georg Philipp",1681-1767,Konzerte f.2 Instr. u.B.c. (Doppelkonzerte n.,Kross),"BC 3 a-moll f.Blockflote,Viola d'amore,",Streicher u.B.c.,"17,26",Flote,Schmidtmann,Lehan,Consortium Musicum,, 1710,EMI 037  45611,,,5518
"TELEMANN, Georg Philipp",1681-1767,"Konzerte f.Flote,Streicher u.B.c. (n.Kross)",,Nr. 3 A-Dur,,"10,05",Flote,"Berndsen,Spilling",Wenzinger,Nurnberger Kamorch.,, 1306,DG  198 198,,,5519
"TELEMANN, Georg Philipp",1681-1767,"Konzerte f.Horn,Streicher u.B.c. (n.Kross)",,Nr.25 D-Dur,,"8,29",Horn,Penzel,Muller-Bruhl,Kolner Kamorch.,,  837,None 71148,,,5520
"TELEMANN, Georg Philipp",1681-1767,"Konzerte f.Horn,Streicher u.B.c. (n.Kross)",,Nr.25 D-Dur,,"0,00",Horn,Tuckwell,Marriner,Ac.St.M-in-the-Fields,, 1081,EMI 063  02459,,,5578
"TEYBER, Anton",1754-1822,Konzert f.Horn u.Orchester Es-Dur,,,,"15,07",Horn,Baumann,Talmi,Philh.Hungarica,, 1426,Tel 6.42418,,,5522
"TELEMANN, Georg Philipp",1681-1767,"Konzerte f.Flote,Streicher u.B.c. (n.Kross)",,D-Dur,,"12,57",Flote,Redel,Redel,Pro Arte Orch.Munchen,,  190,West 17042,,,5523
"TELEMANN, Georg Philipp",1681-1767,"Konzerte f.Flote,Streicher u.B.c. (n.Kross)",,E-Dur,,"17,34",Flote,Redel,Redel,Pro Arte Orch.Munchen,,  190,West 17042,,,5524
"TELEMANN, Georg Philipp",1681-1767,"Konzerte f.Oboe,Streicher u.B.c. (n.Kross)",,Nr.24 A-Dur,,"15,20",Oboe,Casier,Auriacombe,Toulouse Kamorch.,,  350,None 71066,,,5525
"TELEMANN, Georg Philipp",1681-1767,"Konzerte f.Oboe,Streicher u.B.c. (n.Kross)",,Nr.21 f-moll,,"0,00",Oboe,Tright,Paumgartner,Wiener Symphoniker,,  304,Ph  835 121,,,5583
