"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"ALBRECHTSBERGER, Johann Georg",1736-1809,"Concertino Es-Dur f.Trompete,Streicher u.B.c.",,,,"16,12",Trompete,Ghitalla,Farberman,Boston Chamb.Ens.,, 1530,Camb 1819,,,39
"ALBRECHTSBERGER, Johann Georg",1736-1809,Konzert f.Cembalo (Orgel) u.Orchester,B-Dur,,,"19,49",Cembalo,Sebestyen,Tatrai,Ungar.Kamorch.,, 1664,FSM 34325,,,40
"ALBRECHTSBERGER, Johann Georg",1736-1809,Konzert f.Cembalo (Orgel) u.Orchester,B-Dur,,,"26,53",Orgel,Lehotka *,Tatrai,Budapester Kamorch.,,  336,Hun 11349,,,41
"ALBRECHTSBERGER, Johann Georg",1736-1809,Konzert f.Harfe u.Orchester,,Nr.1 C-Dur,,"20,28",Harfe,Lubik,Lehel,Ungar.Rd.S.Orch.,,  334,Hun  1237,,,42
"ALBRECHTSBERGER, Johann Georg",1736-1809,Konzert f.Harfe u.Orchester,,Nr.1 C-Dur,,"0,00",Harfe,Zabaleta,Kuentz,Kamorch.Kuentz,,  440,DG  139 304,,,43
"ALBRECHTSBERGER, Johann Georg",1736-1809,Konzert f.Posaune u.Streicher,,B-Dur,,"15,43",Posaune,Ziloz,Lehel,Ungar.Rd.S.Orch.,,  334,Hun  1237,,,44
"ALBRECHTSBERGER, Johann Georg",1736-1809,Konzert f.Posaune u.Streicher,,B-Dur,,"17,25",Posaune,Slokar,Angerer,SWD Kamorch.Pforzh.,, 1454,Cla 0 707,,,45
"ALBRECHTSBERGER, Johann Georg",1736-1809,Partita F-Dur f.Harfe u.Orchester,,,,"19,40",Harfe,Lelkes,Sandor,Gyor Philh.Orch.,, 1481,Hun 11454,,,46
"ALBRECHTSBERGER, Johann Georg",1736-1809,Sonata D-Dur f.Streicher,,,,"7,35",,,Lehel,Ungar.Rd.S.Orch.,,  334,Hun  1237,,,47
"ALBRECHTSBERGER, Johann Georg",1736-1809,Sonata a 4 Op.16,,Nr.5 F-Dur,,"6,00",,,Sandor,Budapester Kamorch.,,  336,Hun 11349,,,48
"ALKAN, Charles Valentin",1813-1888,Konzerte f.Klavier u.Streicher Op.10,(Concerti da Camara),Nr.2 cis-moll,,"6,35",Klavier,Ponti,Angerer,SWD Kamorch.Pforzh.,, 1430,FSM 34740,,,49
"ROMAN, Johan Helmich",1694-1758,Sinfonien,,Nr. 6 e-moll,,"8,20",,,Schroder,Drottningholms Barockens.,,Q 564,Tru MS 418,,,50
"ALTENBURG, Johann Ernst",1734-1801,Konzert f.7 Trompeten u. Pauken,,,,"4,36",Trompete,"Gould,Carroll,Sirinek,Smith,Miller,Balm,Schw.",,,, 1298,Delos 3002, 45, 54  92,51
"ALTNIKOL,Johann Christoph",1720-1759,Nun danket alle Gott,,,,"10,08",,,Helbich,,Alsfelder Vokalens., 1427 (2LP),Tho DTH 196/7,,,52
"AMON, Johann Andreas",1763-1825,Quartette,,F-Dur Op.20.1,"f.Horn,Violine,Viola u.V'cello","11,32","Horn,Violine,Viola,V'cello","Baumann,Schroder,Peeters,Bylsma",,,, 1017,BASF 20 22752-9,,,53
"ANTON, Ondrej", um -1812,Hunting signal for natural Horn,,,,"0,20",,,,Colleg.Mus.Pragense,,  761,Supra  1 11 0614,,,54
"ARENSKY, Anton",1861-1906,Konzert f.Klavier u.Orchester Op.2,,,,"0,00",Klavier,Blumental,Waldhans,Brno State Philh.Orch.,,  467,Aud   101,,,55
"ARENSKY, Anton",1861-1906,Konzert f.Klavier u.Orchester Op.2,,,,"26,53",Klavier,Littauer,Faerber,Sinf.Orch.Berlin,,  851,FSM 31029, 42,,56
"ARENSKY, Anton",1861-1906,Konzert f.Violine u. Orchester Op.54,,,,"17,44",Violine,Rosand,Froment,Orch.Rd.Luxemburg,, 1061,FSM 34629,,,57
"ARENSKY, Anton",1861-1906,"Trio Op.32 d-moll f.Klavier,Violine u.V'Cello",,,,"28,35","Klavier,Violine,V'cello","Littauer,Terebesi,Michel",,,,  851,FSM 31029,,,58
"ARENSKY, Anton",1861-1906,Variationen uber ein Thema v.Tschaikowsky,Op.35A,,,"0,00",,,Brusilow,Chamb.Symph.Philadelphia,,  678,RCA  3020,,,59
"ABEL, Karl Friedrich",1723-1787,"Sinfonia concertante B-Dur f.Violine,Oboe,",Klarinette u.Orch.,,,"0,00","Violine,Oboe,Klarinette",,Kocsis,Westf.Kam.Sol.,, 1806,Chr 73886,,,60
"KRAUS, Joseph Martin",1756-1792,Sinfonien,,VB 146 D-Dur (da chiesa),Andante maestoso/Allegro maestoso,"8,12",,,Haldtead,Orch.o.th.Age o.Enlightenm.,,Q 565,Tru MS 419,,,61
"ALBRECHTSBERGER, Johann Georg",1736-1809,"Konzerte f.Maultrommel,Mandora u.Orchester",,E-Dur,,"19,39","Maultrommel,Mandora","Mayr,Kirsch",Stadlmair,Munchen.Kamorch.,, 1899,RCA RL 30787,,,62
"ALBRECHTSBERGER, Johann Georg",1736-1809,"Konzerte f.Maultrommel,Mandora u.Orchester",,F-Dur,,"17,38","Maultrommel,Mandora","Mayr,Kirsch",Stadlmair,Munchen.Kamorch.,, 1899,RCA RL 30787,,,63
"ALBINONI, Tommaso",1671-1750,Concerti Op.2 Nr.1-12 (Sonaten a 5),(Sinfonien f.Streicher (1700)),Nr. 3 A-Dur Sonate Nr.2,,"0,00",,,,Heidelbg.Kamorch.,, 1817,Dca 91013,,,64
"ALBINONI, Tommaso",1671-1750,Concerti Op.2 Nr.1-12 (Sonaten a 5),(Sinfonien f.Streicher (1700)),Nr. 6 g-moll Sonate Nr.3,,"0,00",,,,Heidelbg.Kamorch.,, 1817,Dca 91013,,,65
"ALBINONI, Tommaso",1671-1750,Concerti Op.5 Nr.1-12 (Sonaten a 5 u.B.c.),,Nr. 5 a-moll,,"0,00",,,Kussmaul,Heidelbg.Kamorch.,, 1817,Dca 91013,,,66
"ALBINONI, Tommaso",1671-1750,Concerti Op.5 Nr.1-12 (Sonaten a 5 u.B.c.),,Nr. 5 a-moll,,"7,25",,,Marriner,Ac.St.M-in-the-Fields,, 1836,Dec 6.42755,,,67
"ALBINONI, Tommaso",1671-1750,Concerti Op.9 Nr.1-12 (Sonaten a 5),,"Nr. 3 F-Dur f.2 Oboen,Streicher u.B.c.",,"0,00",Oboe,"Hucke,Westermann",Muller-Bruhl,Capella Clementina,, 1905,Schw  2 073,,,68
"ALBINONI, Tommaso",1671-1750,Sonaten Op.6,,Nr.11 A-Dur f.Violine u.B.c.,,"0,00",Violine,Kussmaul,Kussmaul,Heidelbg.Kamorch.,, 1817,Dca 91013,,,69
"ANNA AMALIA, Herz.v.Sachsen-Weimar",1739-1807,Divertimento f.Klavier u.Streicher,,,,"4,49",Klavier,Marciano,Rapf,Wiener Kamorch.,, 1869,FSM 53042,,,70
"ANNA AMALIA, Herz.v.Sachsen-Weimar",1739-1807,Konzert f.12 Instrumente u.Cembalo obligato,,,,"9,59",Cembalo,Marciano,Rapf,Wiener Kamorch.,, 1869,FSM 53042,,,71
